cmp;date;party_id
11110;198809;1154
11110;199109;1154
11110;199409;1154
11110;199809;1154
11110;200209;1154
11110;200609;1154
11110;201009;1154
11110;201409;1154
11110;201809;1154
11220;198209;882
11220;198509;882
11220;198809;882
11220;199109;882
11220;199409;882
11220;199809;882
11220;200209;882
11220;200609;882
11220;201009;882
11220;201409;882
11220;201809;882
11320;198209;904
11320;198509;904
11320;198809;904
11320;199109;904
11320;199409;904
11320;199809;904
11320;200209;904
11320;200609;904
11320;201009;904
11320;201409;904
11320;201809;904
11420;198209;892
11420;198509;892
11420;198809;892
11420;199109;892
11420;199409;892
11420;199809;892
11420;200209;892
11420;200609;892
11420;201009;892
11420;201409;892
11420;201809;892
11520;198509;282
11520;199109;282
11520;199409;282
11520;199809;282
11520;200209;282
11520;200609;282
11520;201009;282
11520;201409;282
11520;201809;282
11620;198209;657
11620;198509;657
11620;198809;657
11620;199109;657
11620;199409;657
11620;199809;657
11620;200209;657
11620;200609;657
11620;201009;657
11620;201409;657
11620;201809;657
11710;201009;1546
11710;201409;1546
11710;201809;1546
11810;198209;1461
11810;198509;1461
11810;198809;1461
11810;199109;1461
11810;199409;1461
11810;199809;1461
11810;200209;1461
11810;200609;1461
11810;201009;1461
11810;201409;1461
11810;201809;1461
11951;199109;951
12110;201309;2254
12110;201709;2254
12221;198109;81
12221;198509;81
12221;198909;81
12221;199309;81
12221;199709;81
12221;200109;81
12221;200509;81
12221;200909;81
12221;201309;81
12221;201709;81
12230;201709;1638
12320;198109;104
12320;198509;104
12320;198909;104
12320;199309;104
12320;199709;104
12320;200109;104
12320;200509;104
12320;200909;104
12320;201309;104
12320;201709;104
12420;198109;647
12420;198509;647
12420;198909;647
12420;199309;647
12420;199709;647
12420;200109;647
12420;200509;647
12420;200909;647
12420;201309;647
12420;201709;647
12520;198109;1538
12520;198509;1538
12520;198909;1538
12520;199309;1538
12520;199709;1538
12520;200109;1538
12520;200509;1538
12520;200909;1538
12520;201309;1538
12520;201709;1538
12620;198109;1435
12620;198509;1435
12620;198909;1435
12620;199309;1435
12620;199709;1435
12620;200109;1435
12620;200509;1435
12620;200909;1435
12620;201309;1435
12620;201709;1435
12810;198109;702
12810;198509;702
12810;198909;702
12810;199309;702
12810;199709;702
12810;200109;702
12810;200509;702
12810;200909;702
12810;201309;702
12810;201709;702
12951;198109;351
12951;198509;351
12951;198909;351
12951;199309;351
12951;199709;351
12951;200109;351
12951;200509;351
12951;200909;351
12951;201309;351
12951;201709;351
13001;200711;376
13001;201109;376
13001;201506;376
13110;201506;2567
13210;198112;189
13210;198401;189
13220;198112;1239
13220;198401;1239
13221;198709;367
13229;199409;306
13229;199803;306
13229;200111;306
13229;200502;306
13229;200711;306
13229;201109;306
13229;201506;306
13230;198112;1644
13230;198401;1644
13230;198709;1644
13230;198805;1644
13230;199012;1644
13230;199409;1644
13230;199803;1644
13230;200111;1644
13230;200502;1644
13230;200711;1644
13230;201109;1644
13230;201506;1644
13320;198112;1629
13320;198401;1629
13320;198709;1629
13320;198805;1629
13320;199012;1629
13320;199409;1629
13320;199803;1629
13320;200111;1629
13320;200502;1629
13320;200711;1629
13320;201109;1629
13320;201506;1629
13330;198112;1324
13330;198401;1324
13330;198709;1324
13330;198805;1324
13330;199012;1324
13330;199409;1324
13330;199803;1324
13330;200502;1324
13410;198112;211
13410;198401;211
13410;198709;211
13410;198805;211
13410;199012;211
13410;199409;211
13410;199803;211
13410;200111;211
13410;200502;211
13410;200711;211
13410;201109;211
13410;201506;211
13420;198112;1605
13420;198401;1605
13420;198709;1605
13420;198805;1605
13420;199012;1605
13420;199409;1605
13420;199803;1605
13420;200111;1605
13420;200502;1605
13420;200711;1605
13420;201109;1605
13420;201506;1605
13520;198112;1331
13520;198401;1331
13520;198709;1331
13520;198805;1331
13520;199012;1331
13520;199409;1331
13520;199803;1331
13520;200111;1331
13520;200502;1331
13620;198112;590
13620;198401;590
13620;198709;590
13620;198805;590
13620;199012;590
13620;199409;590
13620;199803;590
13620;200111;590
13620;200502;590
13620;200711;590
13620;201109;590
13620;201506;590
13720;199803;1418
13720;200111;1418
13720;200502;1418
13720;200711;1418
13720;201109;1418
13720;201506;1418
13951;198112;978
13951;198401;978
13951;198709;978
13951;198805;978
13951;199012;978
13951;199409;978
13951;199803;978
13952;198112;1606
13952;198401;1606
14110;198303;1062
14110;198703;1062
14110;199103;1062
14110;199503;1062
14110;199903;1062
14110;200303;1062
14110;200703;1062
14110;201104;1062
14110;201504;1062
14221;198303;1292
14221;198703;1292
14222;198703;229
14223;199103;1292
14223;199503;1292
14223;199903;1292
14223;200303;1292
14223;200703;1292
14223;201104;1292
14223;201504;1292
14320;198303;395
14320;198703;395
14320;199103;395
14320;199503;395
14320;199903;395
14320;200303;395
14320;200703;395
14320;201104;395
14320;201504;395
14420;199103;1219
14430;199503;1009
14520;198303;1463
14520;198703;1463
14520;199103;1463
14520;199503;1463
14520;199903;1463
14520;200303;1463
14520;200703;1463
14520;201104;1463
14520;201504;1463
14620;198303;1118
14620;198703;1118
14620;199103;1118
14620;199503;1118
14620;199903;1118
14620;200303;1118
14620;200703;1118
14620;201104;1118
14620;201504;1118
14810;198303;94
14810;198703;94
14810;199103;94
14810;199503;94
14810;199903;94
14810;200303;94
14810;200703;94
14810;201104;94
14810;201504;94
14820;198303;200
14820;198703;200
14820;199103;200
14820;199503;200
14820;199903;200
14820;200303;200
14820;200703;200
14820;201104;200
14820;201504;200
14901;198303;585
14901;198703;585
14901;199103;585
14901;199503;585
14901;199903;585
14901;200303;585
14901;200703;585
14901;201104;585
14901;201504;585
15111;199905;210
15111;200305;210
15111;200705;210
15111;200904;210
15111;201304;210
15111;201610;210
15111;201710;210
15220;198304;1360
15220;198704;1360
15220;199104;1360
15220;199504;1360
15320;198304;228
15320;198704;228
15320;199104;228
15320;199504;228
15321;198304;988
15323;199504;205
15328;199905;1006
15328;200305;1006
15328;200705;1006
15328;200904;1006
15328;201304;1006
15328;201610;1006
15328;201710;1006
15420;199905;506
15420;200305;506
15420;200705;506
15430;200904;587
15440;201304;2204
15440;201610;2204
15440;201710;2204
15450;201610;2633
15450;201710;2633
15620;198304;1342
15620;198704;1342
15620;199104;1342
15620;199504;1342
15620;199905;1342
15620;200305;1342
15620;200705;1342
15620;200904;1342
15620;201304;1342
15620;201610;1342
15620;201710;1342
15621;198704;828
15630;201710;2655
15810;198304;1455
